-8.07866 -6.77042 28.1833 
-7.95046 -6.69671 27.974 
-7.8283 -6.64059 27.7569 
-7.71326 -6.60188 27.534 
-7.60632 -6.58031 27.3075 
-7.50832 -6.57547 27.0793 
-7.41998 -6.58688 26.8513 
-7.34189 -6.614 26.6253 
-7.27455 -6.65625 26.4031 
-7.21834 -6.713 26.1861 
-7.17356 -6.78363 25.9761 
-7.14041 -6.86748 25.7745 
-7.119 -6.96388 25.5827 
-7.10939 -7.07215 25.402 
-7.11153 -7.19159 25.2339 
-7.12536 -7.32149 25.0795 
-7.1507 -7.4611 24.9401 
-7.18735 -7.60961 24.8168 
-7.23505 -7.76619 24.7107 
-7.29346 -7.92993 24.623 
-7.36221 -8.09985 24.5546 
-7.44083 -8.27488 24.5064 
-7.52883 -8.45386 24.4793 
-7.62563 -8.63551 24.474 
-7.73058 -8.81843 24.4912 
-7.84295 -9.00111 24.5314 
-7.96193 -9.18193 24.5948 
-8.08664 -9.35911 24.6818 
-8.21608 -9.53077 24.7921 
-8.3492 -9.69495 24.9255 
-8.48483 -9.84957 25.0814 
-8.62172 -9.99253 25.2589 
-8.75854 -10.1217 25.4569 
-8.89387 -10.2349 25.6737 
-9.02624 -10.3301 25.9075 
-9.15413 -10.4054 26.156 
-9.27598 -10.4591 26.4166 
-9.39023 -10.4895 26.6864 
-9.49534 -10.4956 26.9622 
-9.58981 -10.4765 27.2405 
-9.67222 -10.4317 27.5175 
-9.74129 -10.3613 27.7895 
-9.79587 -10.2657 28.0528 
-9.83497 -10.146 28.3034 
-9.85786 -10.0037 28.5378 
-9.864 -9.84063 28.7526 
-9.85314 -9.65923 28.9447 
-9.82526 -9.46222 29.1115 
-9.78066 -9.2526 29.2508 
-9.71987 -9.03357 29.3609 
-9.6437 -8.80847 29.4407 
-9.55321 -8.58063 29.4896 
-9.44964 -8.35333 29.5074 
-9.33445 -8.12969 29.4948 
-9.20924 -7.91261 29.4525 
-9.07571 -7.70475 29.3818 
-8.93565 -7.50843 29.2846 
-8.79087 -7.32564 29.1625 
-8.6432 -7.15803 29.0179 
-8.49442 -7.0069 28.8531 
-8.34626 -6.87324 28.6703 
-8.20035 -6.75773 28.4721 
-8.05823 -6.66075 28.2609 
-7.92131 -6.58248 28.0392 
-7.79088 -6.52286 27.8091 
-7.66807 -6.48167 27.5731 
-7.55391 -6.45855 27.3333 
-7.44927 -6.45304 27.0918 
-7.3549 -6.46461 26.8505 
-7.2714 -6.49263 26.6113 
-7.19929 -6.53649 26.376 
-7.13895 -6.59551 26.1463 
-7.09068 -6.66902 25.9237 
-7.05467 -6.75634 25.7099 
-7.03104 -6.85677 25.5063 
-7.01982 -6.96963 25.3143 
-7.02098 -7.09421 25.1352 
-7.03442 -7.22978 24.9703 
-7.05999 -7.3756 24.821 
-7.09746 -7.53088 24.6884 
-7.14657 -7.69478 24.5736 
-7.20698 -7.8664 24.478 
-7.27831 -8.04478 24.4024 
-7.36011 -8.22883 24.3479 
-7.45187 -8.41739 24.3154 
-7.55301 -8.60918 24.3058 
-7.66288 -8.80276 24.3198 
-7.78073 -8.9966 24.358 
-7.90576 -9.18899 24.4208 
-8.03706 -9.37811 24.5085 
-8.17362 -9.56198 24.6211 
-8.31435 -9.73851 24.7584 
-8.45804 -9.9055 24.9198 
-8.60339 -10.0607 25.1046 
-8.74902 -10.2017 25.3116 
-8.89343 -10.3263 25.5392 
-9.03506 -10.4322 25.7855 
-9.1723 -10.5171 26.0483 
-9.30347 -10.5792 26.3247 
-9.42689 -10.6167 26.6117 
-9.54089 -10.6282 26.9058 
-9.64383 -10.6127 27.2035 
-9.73416 -10.5695 27.5006 
-9.81044 -10.4986 27.7931 
-9.87139 -10.4003 28.0768 
-9.9159 -10.2758 28.3476 
-9.94312 -10.1265 28.6015 
-9.95241 -9.9544 28.8348 
-9.94344 -9.76211 29.044 
